public_path,source_path,public_sha256,source_sha256,identical_copy,public_bytes,source_bytes,source_modified_utc
code/pipeline/11_estimate_calibrated_tail_probabilities.py,src/pipeline/11_estimate_calibrated_tail_probabilities.py,b06d7c51f525724f99e9da682110a0db1c33dc7367e1fd4059c8bfaa15d4129e,b06d7c51f525724f99e9da682110a0db1c33dc7367e1fd4059c8bfaa15d4129e,true,458,458,2026-07-02T05:51:19.450102+00:00
code/pipeline/12_merge_calibrated_probability_targets.py,src/pipeline/12_merge_calibrated_probability_targets.py,9e3393dddabe4d9e33e48071a8c743d03b8fc47386cfe8d7c96e4df6c0e1bb95,9e3393dddabe4d9e33e48071a8c743d03b8fc47386cfe8d7c96e4df6c0e1bb95,true,381,381,2026-06-22T10:05:13.609994+00:00
code/pipeline/13_build_hc5_panels.py,src/pipeline/13_build_hc5_panels.py,81f78b20e19504cffbe83334898d436bdd1f6baaec165b6821d6e5862f620c52,81f78b20e19504cffbe83334898d436bdd1f6baaec165b6821d6e5862f620c52,true,12348,12348,2026-08-02T09:03:12.464082+00:00
code/pipeline/14_build_random_baselines.py,src/pipeline/14_build_random_baselines.py,b04b3d4f0266a2b4b62f28f39ea94c6cecb72e633f7e381df389b92a7d852546,b04b3d4f0266a2b4b62f28f39ea94c6cecb72e633f7e381df389b92a7d852546,true,5433,5433,2026-06-22T11:33:02.732209+00:00
code/pipeline/15_quantify_taxonomic_complementarity.py,src/pipeline/15_quantify_taxonomic_complementarity.py,81e9990fb0e448abc5f07d740d05a2ad80eb61e8f5cfd3bab110d3023d5cc90c,81e9990fb0e448abc5f07d740d05a2ad80eb61e8f5cfd3bab110d3023d5cc90c,true,11347,11347,2026-07-02T05:52:21.145463+00:00
code/pipeline/16_evaluate_warning_hc5_bridge.py,src/pipeline/16_evaluate_warning_hc5_bridge.py,47c82e23f6e0a3a67aadc665ab419d09ab626cd4ba31e4e0b9e7bbd210f3d530,47c82e23f6e0a3a67aadc665ab419d09ab626cd4ba31e4e0b9e7bbd210f3d530,true,16488,16488,2026-07-31T11:22:31.610214+00:00
code/pipeline/17_assess_warning_apical_lead_potential.py,src/pipeline/17_assess_warning_apical_lead_potential.py,2b19b5ad3f80f58ba65fbb9fd61d251b67aa1b4df67be42d566d639180f97dc5,2b19b5ad3f80f58ba65fbb9fd61d251b67aa1b4df67be42d566d639180f97dc5,true,9509,9509,2026-06-22T10:12:53.223850+00:00
code/pipeline/18_evaluate_mechanism_evidence_and_testing.py,src/pipeline/18_evaluate_mechanism_evidence_and_testing.py,4ebd5221fc960dd7e3db654203f61aba9b8d9714dc365024bf72d494622d5c52,4ebd5221fc960dd7e3db654203f61aba9b8d9714dc365024bf72d494622d5c52,true,8274,8274,2026-06-22T10:13:03.803108+00:00
code/pipeline/19_compare_hc5_frameworks.py,src/pipeline/19_compare_hc5_frameworks.py,97afe23ad3fc318c9cbf4d2bb3c34394b7e90897b21963a4c6af3247c3425025,97afe23ad3fc318c9cbf4d2bb3c34394b7e90897b21963a4c6af3247c3425025,true,12121,12121,2026-07-02T05:52:37.387670+00:00
code/pipeline/20_build_state_panels_and_testing.py,src/pipeline/20_build_state_panels_and_testing.py,9c082a4ef3be3819004731986d704874f1f9806884be1020f1649fa047949de4,9c082a4ef3be3819004731986d704874f1f9806884be1020f1649fa047949de4,true,42104,42104,2026-07-29T10:46:08.661778+00:00
code/pipeline/21_propagate_hc5_profile_uncertainty.py,src/pipeline/21_propagate_hc5_profile_uncertainty.py,8534b0d755f2835f8fb9b29a6a5b402e01150e89e8b1c2431a54c7f8f729a151,8534b0d755f2835f8fb9b29a6a5b402e01150e89e8b1c2431a54c7f8f729a151,true,11201,11201,2026-06-22T10:08:16.900440+00:00
code/pipeline/22_assess_mnar_sensitivity.py,src/pipeline/22_assess_mnar_sensitivity.py,aa9aec8fec430f9a377b645d00375fc637eb9305fb5d839ef4838c1c828dfcd7,aa9aec8fec430f9a377b645d00375fc637eb9305fb5d839ef4838c1c828dfcd7,true,15732,15732,2026-07-02T05:51:36.464632+00:00
code/figures/figure_01/plot_figure_01.py,manuscript_plot/figure_01/plot_figure_01.py,7a3b8c439e74ac416b82ab61c2e5d1ba8c68610d8b21cd4b21404f43144b5d0d,7a3b8c439e74ac416b82ab61c2e5d1ba8c68610d8b21cd4b21404f43144b5d0d,true,57742,57742,2026-08-05T13:04:41.789467+00:00
code/figures/figure_02/plot_figure_02.py,manuscript_plot/figure_02/plot_figure_02.py,e03aacb3606cef28f4731a37e5655b2e9ee10aa95745fb71d8074dbfdfd822c4,e03aacb3606cef28f4731a37e5655b2e9ee10aa95745fb71d8074dbfdfd822c4,true,34401,34401,2026-08-06T10:52:34.721731+00:00
code/figures/figure_02/plot_figure_02b_matched_k_test.py,manuscript_plot/figure_02/plot_figure_02b_matched_k_test.py,715442148cd3a4d7b15bf1cba087e4153c9f9057135463aaf8d42f42788668b9,715442148cd3a4d7b15bf1cba087e4153c9f9057135463aaf8d42f42788668b9,true,8758,8758,2026-07-01T00:12:21.622291+00:00
code/figures/figure_02/plot_figure_02b_regulatory_distribution_tests.py,manuscript_plot/figure_02/plot_figure_02b_regulatory_distribution_tests.py,ce5fb0abba463b77c3ae92557624ace7cc2a5ccc1370b481341a9af4a3c1edd7,ce5fb0abba463b77c3ae92557624ace7cc2a5ccc1370b481341a9af4a3c1edd7,true,33215,33215,2026-08-02T08:59:57.871790+00:00
code/figures/figure_03/plot_figure_03.py,manuscript_plot/figure_03/plot_figure_03.py,b2337100672ff70da6bd5296d8ee774e7ddec66c85e48b34ef53041211643705,71b1cec96df0b41a645d5d3add372c42f1a224015a260ed62fafdd2780955661,false,31851,32029,2026-08-05T12:32:40.820860+00:00
code/figures/figure_04/plot_figure_04.py,manuscript_plot/figure_04/plot_figure_04.py,a9c07222200ed981d2e217280cb6641d973a9ebccaec2977db82e3b427bcdfb7,a9c07222200ed981d2e217280cb6641d973a9ebccaec2977db82e3b427bcdfb7,true,62118,62118,2026-08-05T13:14:59.466370+00:00
code/figures/figure_05/plot_figure_05.py,manuscript_plot/figure_05/plot_figure_05.py,a8f53ac41f8b2302b82e705f9003cfaa5e716b0b1f14d90311d97d94cbe22c9d,b93ae73d2bb69ab8c0d59708d7af7da4aad6b2f243ddec6f2f0c882a658c17b9,false,50837,51021,2026-08-01T06:44:15.958686+00:00
code/figures/plot_common.py,manuscript_plot/plot_common.py,56403844625592bbbbf4d7adde774d45f7fc8845539e83b5f4bc8326cd87e6d4,3588df49a487631ae7aff5107f01b2c64cb0c4c45842a57259e5ef5f4db6de7e,false,8481,8110,2026-07-30T11:40:54.880513+00:00
code/figures/render_all.py,manuscript_plot/render_all.py,7686cf1bdb3e5186314e53df1bdda5b873468d5e16d401ebf8678f9889908cb6,d3644c6c1e721d1d6d56a13625f4ca04c8de0b0c19001541ca8f0c3b8c4bf245,false,802,790,2026-07-30T11:52:31.658128+00:00
code/run_analysis.py,run_all.ps1,4a405d809173aa518008c1553725046ac1e45c0f6cf1946d5920e6eb1ea27cbd,475956304f0c5af64b5a5b6e059160bce757be4b913ebcc4e4069e98b457b57b,false,13416,1087,2026-06-22T10:10:06.311654+00:00
run_analysis.ps1,run_all.ps1,808a835eaede41928e796c1a4636d66e0a3653a912d035c965871baea64da735,475956304f0c5af64b5a5b6e059160bce757be4b913ebcc4e4069e98b457b57b,false,1091,1087,2026-06-22T10:10:06.311654+00:00
config/requirements-lock.txt,manifests/python_requirements_lock.txt,d4cede6f1b470bc2f0259d995bf398987f0eac46f6065c4d7e6a4c94771489ea,0d8bf452999434ebae2f6b3b7a07eed76aac4ecd9824064a2efa9fe635a3670d,false,356,445,2026-07-30T13:50:53.841007+00:00
config/submission_environment_specification.json,manifests/submission_environment_specification.json,de00cdd00020756ed77456f4e7d36d2d33cc1b9e6e6771297827e62fdcf7f8ce,de00cdd00020756ed77456f4e7d36d2d33cc1b9e6e6771297827e62fdcf7f8ce,true,798,798,2026-07-30T13:54:21.418175+00:00
