scientific_name,common_name,class,order,family,phylum,national_rank,top5,top10,protective_context_count,protective_chemical_count,warning_context_count,warning_chemical_count,broad_life_stage_category_count,eligible_state_count,state_occurrence_available,evidence_support,evidence_support_label,official_or_common_method_species,testing_priority,rank_scope,note
Gastrophryne olivacea,,Amphibia,Anura,Microhylidae,Chordata,24,False,False,1,1,1,1,1,7,True,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.010324544283024,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Amblema plicata,,Bivalvia,Unionoida,Unionidae,Mollusca,25,False,False,22,12,0,0,1,23,True,moderate_20_49,Moderate (20-49 protective contexts),False,0.017227850493616,extended_greedy_order,
Daphnia hyalina,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,26,False,False,13,13,0,0,1,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0050924481501185,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Ceriodaphnia quadrangula,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,27,False,False,26,12,0,0,1,0,False,moderate_20_49,Moderate (20-49 protective contexts),False,0.0031919899486371,extended_greedy_order,
Gammarus minus,,Malacostraca,Amphipoda,Gammaridae,Arthropoda,28,False,False,20,18,0,0,1,7,True,moderate_20_49,Moderate (20-49 protective contexts),False,0.0045470008538051,extended_greedy_order,
Cloeon dipterum,,Insecta,Ephemeroptera,Baetidae,Arthropoda,29,False,False,80,53,3,3,2,8,True,strong_50_plus,Strong (50+ protective contexts),False,0.0027076727537092,extended_greedy_order,
Daphnia galeata,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,30,False,False,35,19,2,2,1,2,True,moderate_20_49,Moderate (20-49 protective contexts),False,0.002986693634919,extended_greedy_order,
Hyalella meinerti,,Malacostraca,Amphipoda,Hyalellidae,Arthropoda,31,False,False,3,2,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.00688323602156,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Ceriodaphnia lacustris,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,32,False,False,1,1,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0068662135763728,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Jordanella floridae,,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Chordata,33,False,False,77,32,5,5,4,2,True,strong_50_plus,Strong (50+ protective contexts),False,0.0044447034238564,extended_greedy_order,
Lampsilis siliquoidea,,Bivalvia,Unionoida,Unionidae,Mollusca,34,False,False,117,41,5,5,2,20,True,strong_50_plus,Strong (50+ protective contexts),False,0.0047616160253539,extended_greedy_order,
Daphnia parvula,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,35,False,False,1,1,0,0,1,2,True,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0076156956516255,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Chironomus riparius,,Insecta,Diptera,Chironomidae,Arthropoda,36,False,False,192,95,17,14,3,0,False,strong_50_plus,Strong (50+ protective contexts),False,0.0014821485208719,extended_greedy_order,
Daphnia rosea,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,37,False,False,4,4,0,0,2,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0067899325851075,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Daphnia cephalata,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,38,False,False,3,1,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0047923309174548,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Daphnia cucullata,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,39,False,False,13,13,0,0,1,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0047841263179173,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Pteronarcys californica,,Insecta,Plecoptera,Pteronarcyidae,Arthropoda,40,False,False,83,71,0,0,2,8,True,strong_50_plus,Strong (50+ protective contexts),False,0.0026899605150267,extended_greedy_order,
Macrobrachium nipponense,,Malacostraca,Decapoda,Palaemonidae,Arthropoda,41,False,False,20,13,0,0,2,1,True,moderate_20_49,Moderate (20-49 protective contexts),False,0.0041525851820022,extended_greedy_order,
Hyridella australis,,Bivalvia,Unionoida,Hyriidae,Mollusca,42,False,False,12,6,0,0,1,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0067694455763808,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Tanytarsus dissimilis,,Insecta,Diptera,Chironomidae,Arthropoda,43,False,False,34,27,1,1,2,1,True,moderate_20_49,Moderate (20-49 protective contexts),False,0.0050588636436778,extended_greedy_order,
Ceriodaphnia cornuta,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,44,False,False,4,2,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0066445366755719,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Chironomus tentans,,Insecta,Diptera,Chironomidae,Arthropoda,45,False,False,184,84,14,12,2,0,False,strong_50_plus,Strong (50+ protective contexts),False,0.0017667659445354,extended_greedy_order,
Ceriodaphnia pulchella,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,46,False,False,7,3,0,0,1,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0046861879551447,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Ceriodaphnia silvestrii,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,47,False,False,2,2,0,0,2,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0066265700908115,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Daphnia retrocurva,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,48,False,False,2,1,0,0,1,1,True,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0069930813832824,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Daphnia spinulata,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,49,False,False,2,2,1,1,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0046452452303662,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Daphnia gessneri,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,50,False,False,2,1,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0065532256221427,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Hyalella curvispina,,Malacostraca,Amphipoda,Hyalellidae,Arthropoda,51,False,False,14,9,0,0,1,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0065981325492057,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Hyridella depressa,,Bivalvia,Unionoida,Hyriidae,Mollusca,52,False,False,12,6,0,0,1,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0066109079273331,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Daphnia pulicaria,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,53,False,False,9,7,0,0,1,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0065375549089978,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Hyridella drapeta,,Bivalvia,Unionoida,Hyriidae,Mollusca,54,False,False,12,6,0,0,1,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0065782238009868,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Daphnia sp.,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,55,False,False,23,18,1,1,1,0,False,moderate_20_49,Moderate (20-49 protective contexts),False,0.0032396027155117,extended_greedy_order,
Daphnia obtusa,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,56,False,False,14,8,0,0,1,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0037376049223887,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Daphnia longispina,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,57,False,False,30,13,1,1,2,0,False,moderate_20_49,Moderate (20-49 protective contexts),False,0.0028926002063308,extended_greedy_order,
Thamnocephalus platyurus,,Branchiopoda,Anostraca,Thamnocephalidae,Arthropoda,58,False,False,26,20,0,0,1,4,True,moderate_20_49,Moderate (20-49 protective contexts),False,0.0056801749140712,extended_greedy_order,
Daphnia catawba,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,59,False,False,2,2,1,1,2,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0064088710878847,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Macrobrachium rosenbergii,,Malacostraca,Decapoda,Palaemonidae,Arthropoda,60,False,False,38,24,4,4,2,0,False,moderate_20_49,Moderate (20-49 protective contexts),False,0.0024314956992778,extended_greedy_order,
Ceriodaphnia acanthina,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,61,False,False,3,1,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.006399199113685,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Hyalella sp.,,Malacostraca,Amphipoda,Hyalellidae,Arthropoda,62,False,False,11,6,0,0,1,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0045278424167567,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Lithobates pipiens,,Amphibia,Anura,Ranidae,Chordata,63,False,False,209,64,8,6,4,28,True,strong_50_plus,Strong (50+ protective contexts),False,0.0041091354466935,extended_greedy_order,
Ceriodaphnia rigaudi,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,64,False,False,6,6,0,0,1,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0063691703251636,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Cucumerunio novaehollandiae,,Bivalvia,Unionoida,Hyriidae,Mollusca,65,False,False,12,6,0,0,1,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.006402223469689,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Palaemonetes kadiakensis,,Malacostraca,Decapoda,Palaemonidae,Arthropoda,66,False,False,47,43,0,0,3,10,True,moderate_20_49,Moderate (20-49 protective contexts),False,0.0036158496512084,extended_greedy_order,
Daphnia laevis,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,67,False,False,5,3,2,1,2,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0044403128231159,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Macrobrachium lamarrei,,Malacostraca,Decapoda,Palaemonidae,Arthropoda,68,False,False,20,15,5,5,2,0,False,moderate_20_49,Moderate (20-49 protective contexts),False,0.0044896304413381,extended_greedy_order,
Ceriodaphnia sp.,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,69,False,False,9,8,1,1,1,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0063038406761129,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Xenopus laevis,,Amphibia,Anura,Pipidae,Chordata,70,False,False,358,123,34,29,4,1,True,strong_50_plus,Strong (50+ protective contexts),False,0.0013821302536935,extended_greedy_order,
Daphnia similoides,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,71,False,False,8,2,0,0,1,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0061968855025679,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Nemoura cinerea,,Insecta,Plecoptera,Nemouridae,Arthropoda,72,False,False,13,13,0,0,1,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0044340826749269,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Gammarus sp.,,Malacostraca,Amphipoda,Gammaridae,Arthropoda,73,False,False,17,16,0,0,2,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0036142623877215,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Gammarus elvirae,,Malacostraca,Amphipoda,Gammaridae,Arthropoda,74,False,False,1,1,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.006196838022703,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Gammarus roeseli,,Malacostraca,Amphipoda,Gammaridae,Arthropoda,75,False,False,13,10,3,3,2,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0021726776209649,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Simocephalus vetulus,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,76,False,False,32,20,2,2,3,0,False,moderate_20_49,Moderate (20-49 protective contexts),False,0.0024906141225742,extended_greedy_order,
Aquarana catesbeiana,,Amphibia,Anura,Ranidae,Chordata,77,False,False,106,49,14,11,3,0,False,strong_50_plus,Strong (50+ protective contexts),False,0.001935670802188,extended_greedy_order,
Utterbackia imbecillis,,Bivalvia,Unionoida,Unionidae,Mollusca,78,False,False,54,26,0,0,2,34,True,strong_50_plus,Strong (50+ protective contexts),False,0.0131933816925933,extended_greedy_order,
Daphnia lumholtzi,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,79,False,False,8,7,0,0,1,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0042795389159666,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Moina dubia,,Branchiopoda,Cladocera,Moinidae,Arthropoda,80,False,False,2,2,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0061116029789676,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Brachionus calyciflorus,,Monogononta,Ploima,Brachionidae,Rotifera,81,False,False,103,61,17,17,3,0,False,strong_50_plus,Strong (50+ protective contexts),False,0.0015763401616391,extended_greedy_order,
Ceriodaphnia affinis,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,82,False,False,5,2,1,1,3,1,True,sparse_5_19,Limited (5-19 protective contexts),False,0.0064017343593246,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Asellus aquaticus,,Malacostraca,Isopoda,Asellidae,Arthropoda,83,False,False,105,62,17,16,4,0,False,strong_50_plus,Strong (50+ protective contexts),False,0.0017619203573478,extended_greedy_order,
Etheostoma fonticola,,Actinopterygii,Perciformes,Percidae,Chordata,84,False,False,20,6,0,0,1,1,True,moderate_20_49,Moderate (20-49 protective contexts),False,0.0045247381151256,extended_greedy_order,
Gammarus orinos,,Malacostraca,Amphipoda,Gammaridae,Arthropoda,85,False,False,1,1,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0060067670578023,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Baetis rhodani,,Insecta,Ephemeroptera,Baetidae,Arthropoda,86,False,False,17,16,0,0,2,8,True,sparse_5_19,Limited (5-19 protective contexts),False,0.0036156542599564,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Lithobates sylvaticus,,Amphibia,Anura,Ranidae,Chordata,87,False,False,97,34,3,3,2,34,True,strong_50_plus,Strong (50+ protective contexts),False,0.006370035153861,extended_greedy_order,
Gammarus limnaeus,,Malacostraca,Amphipoda,Gammaridae,Arthropoda,88,False,False,1,1,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.005967123005927,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Moina australiensis,,Branchiopoda,Cladocera,Moinidae,Arthropoda,89,False,False,2,2,0,0,2,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0059341964072109,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Moina sp.,,Branchiopoda,Cladocera,Moinidae,Arthropoda,90,False,False,1,1,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0058912187179182,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Oncorhynchus mykiss,,Actinopterygii,Salmoniformes,Salmonidae,Chordata,91,False,False,1056,473,198,133,5,2,True,strong_50_plus,Strong (50+ protective contexts),True,0.0007832398053,extended_greedy_order,
Aedes vexans,,Insecta,Diptera,Culicidae,Arthropoda,92,False,False,23,21,0,0,2,47,True,moderate_20_49,Moderate (20-49 protective contexts),False,0.0100349631470493,extended_greedy_order,
Physa gyrina,,Gastropoda,Basommatophora,Physidae,Mollusca,93,False,False,49,23,0,0,2,17,True,moderate_20_49,Moderate (20-49 protective contexts),False,0.0059455488541463,extended_greedy_order,
Gammarus tigrinus,,Malacostraca,Amphipoda,Gammaridae,Arthropoda,94,False,False,2,2,0,0,1,1,True,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0061977562728824,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Lymnaea stagnalis,,Gastropoda,Basommatophora,Lymnaeidae,Mollusca,95,False,False,123,62,15,12,3,15,True,strong_50_plus,Strong (50+ protective contexts),False,0.0038485087218374,extended_greedy_order,
Moina irrasa,,Branchiopoda,Cladocera,Moinidae,Arthropoda,96,False,False,5,3,0,0,1,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.005721902219729,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Alathyria profuga,,Bivalvia,Unionoida,Hyriidae,Mollusca,97,False,False,12,6,0,0,1,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0057234661905731,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Moina rectirostris,,Branchiopoda,Cladocera,Moinidae,Arthropoda,98,False,False,3,1,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0056965316238345,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Macrobrachium malcolmsonii,,Malacostraca,Decapoda,Palaemonidae,Arthropoda,99,False,False,13,6,3,2,2,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0032989303220093,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Chironomus plumosus,,Insecta,Diptera,Chironomidae,Arthropoda,100,False,False,56,43,1,1,2,1,True,strong_50_plus,Strong (50+ protective contexts),False,0.0019971922959067,extended_greedy_order,
Echinogammarus stammeri,,Malacostraca,Amphipoda,Gammaridae,Arthropoda,101,False,False,1,1,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0057086683564533,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Hydra oligactis,,Hydrozoa,Hydroida,Hydridae,Cnidaria,102,False,False,21,19,0,0,1,7,True,moderate_20_49,Moderate (20-49 protective contexts),False,0.0046897846840721,extended_greedy_order,
Gammarus duebeni,,Malacostraca,Amphipoda,Gammaridae,Arthropoda,103,False,False,4,3,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.005670461562028,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Anopheles quadrimaculatus,,Insecta,Diptera,Culicidae,Arthropoda,104,False,False,28,25,0,0,1,25,True,moderate_20_49,Moderate (20-49 protective contexts),False,0.0070666295270339,extended_greedy_order,
Paratya curvirostris,,Malacostraca,Decapoda,Atyidae,Arthropoda,105,False,False,1,1,0,0,2,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0056528013187905,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Caridina laevis,,Malacostraca,Decapoda,Atyidae,Arthropoda,106,False,False,13,7,0,0,2,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0032522251665004,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Velesunio ambiguus,,Bivalvia,Unionoida,Hyriidae,Mollusca,107,False,False,13,7,1,1,1,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0056085915820183,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Notonecta sp.,,Insecta,Heteroptera,Notonectidae,Arthropoda,108,False,False,18,13,0,0,1,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.003225518138681,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Echinogammarus echinosetosus,,Malacostraca,Amphipoda,Gammaridae,Arthropoda,109,False,False,5,3,0,0,1,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0055967564210478,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Aedes punctor,,Insecta,Diptera,Culicidae,Arthropoda,110,False,False,21,20,0,0,1,7,True,moderate_20_49,Moderate (20-49 protective contexts),False,0.0045721523369099,extended_greedy_order,
Pteronarcella badia,,Insecta,Plecoptera,Pteronarcyidae,Arthropoda,111,False,False,19,19,0,0,1,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0024945325987527,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Diaptomus sp.,,Maxillopoda,Calanoida,Diaptomidae,Arthropoda,112,False,False,16,15,0,0,1,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0025059174247793,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Ambystoma mexicanum,,Amphibia,Caudata,Ambystomatidae,Chordata,113,False,False,23,16,2,1,2,0,False,moderate_20_49,Moderate (20-49 protective contexts),False,0.0039334108641391,extended_greedy_order,
Isonychia sp.,,Insecta,Ephemeroptera,Isonychiidae,Arthropoda,114,False,False,15,14,0,0,2,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0022677416196032,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Epioblasma capsaeformis,,Bivalvia,Unionoida,Unionidae,Mollusca,115,False,False,16,7,0,0,1,2,True,sparse_5_19,Limited (5-19 protective contexts),False,0.0035913315202434,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Gammarus kischineffensis,,Malacostraca,Amphipoda,Gammaridae,Arthropoda,116,False,False,6,5,0,0,2,0,False,sparse_5_19,Limited (5-19 protective contexts),False,0.0031990135255181,extended_greedy_order,Limited direct protective support; interpret the rank with the reported uncertainty.
Hexagenia sp.,,Insecta,Ephemeroptera,Ephemeridae,Arthropoda,117,False,False,28,18,4,4,1,0,False,moderate_20_49,Moderate (20-49 protective contexts),False,0.0022620996000958,extended_greedy_order,
Macrobrachium amazonicum,,Malacostraca,Decapoda,Palaemonidae,Arthropoda,118,False,False,2,2,1,1,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0055262923859574,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
Salmo trutta,,Actinopterygii,Salmoniformes,Salmonidae,Chordata,119,False,False,169,91,24,19,4,2,True,strong_50_plus,Strong (50+ protective contexts),False,0.001838679248819,extended_greedy_order,
Macrobrachium superbum,,Malacostraca,Decapoda,Palaemonidae,Arthropoda,120,False,False,3,2,0,0,1,0,False,very_sparse_1_4,Very limited (1-4 protective contexts),False,0.0055142127023836,extended_greedy_order,Very limited direct protective support; confirmatory testing is a high priority.
